Rank,state,district,stunting,risk_segment,empowerment_score,wash_score,wealth_proxy,nutrition_deprivation,fertility_risk,healthcare_score,predicted_stunting_rf,residual_rf
1,UP,Bahraich,65.1,Tier 3 — High Risk,31.933333333333334,42.3,33.525,36.975,30.96666666666667,18.58333333333333,57.26376762681762,7.836232373182376
2,UP,Shrawasti,63.5,Tier 3 — High Risk,28.23333333333333,39.2,29.475,32.825,39.56666666666667,25.6,57.40256679709179,6.097433202908213
3,UP,Balrampur,62.8,Tier 3 — High Risk,31.96666666666667,40.5,32.075,34.025,30.23333333333333,19.53333333333333,57.148405337255326,5.651594662744671
4,JH,Pashchimi Singhbhum,59.4,Tier 3 — High Risk,40.43333333333334,31.666666666666668,45.55,40.275,21.399999999999995,23.35,54.58854959618844,4.811450403811556
5,UP,Siddharthnagar,57.9,Tier 3 — High Risk,40.56666666666667,44.6,45.6,42.525000000000006,29.933333333333334,30.850000000000005,54.73074527316222,3.169254726837778
6,BR,Sitamarhi,57.3,Tier 3 — High Risk,34.4,44.333333333333336,38.525000000000006,40.925,34.13333333333333,28.883333333333336,53.30217533845725,3.997824661542744
7,UP,Gonda,56.9,Tier 3 — High Risk,40.53333333333333,43.4,39.925,35.825,30.8,30.71666666666667,53.416553229151006,3.4834467708489925
8,UP,Sitapur,56.4,Tier 3 — High Risk,44.0,44.8,35.475,34.525,25.266666666666666,38.2,49.45450207075925,6.945497929240744
9,KA,Koppal,55.8,Tier 1 — Low Risk (Developed),49.366666666666674,58.36666666666667,62.7,27.525,25.03333333333333,61.78333333333334,45.92981860950508,9.87018139049492
10,KA,Yadgir,55.5,Tier 1 — Low Risk (Developed),37.63333333333333,42.63333333333333,58.225,26.6,25.066666666666663,62.78333333333334,46.41716878418709,9.08283121581291
11,UP,Budaun,55.1,Tier 3 — High Risk,36.4,50.96666666666667,44.375,35.15,28.133333333333336,38.083333333333336,50.86440101350604,4.235598986493962
12,RJ,Dhaulpur,54.3,Tier 3 — High Risk,47.23333333333333,47.9,57.55,29.25,27.3,53.25,46.26121950482008,8.038780495179914
13,BR,Nalanda,54.1,Tier 3 — High Risk,43.43333333333334,50.76666666666667,54.425,34.15,32.06666666666667,44.70000000000001,49.56644355477827,4.533556445221734
14,JH,Godda,54.0,Tier 3 — High Risk,37.56666666666667,35.63333333333333,46.95,39.37499999999999,40.6,42.75,48.92185125896072,5.078148741039286
15,UP,Kheri,53.9,Tier 3 — High Risk,38.46666666666667,46.0,36.7,34.825,25.53333333333333,34.68333333333333,51.98127108575838,1.918728914241619
16,BR,Kaimur (Bhabua),53.8,Tier 3 — High Risk,49.96666666666667,43.53333333333333,50.975,32.175,25.600000000000005,43.46666666666666,49.375587646035584,4.424412353964414
17,BR,Vaishali,53.7,Tier 3 — High Risk,47.0,49.7,50.975,38.225,31.96666666666667,43.3,47.79761513094604,5.902384869053968
18,UP,Maharajganj,53.3,Tier 3 — High Risk,40.43333333333333,45.6,42.45,32.35,29.33333333333333,39.91666666666666,47.99957285196458,5.300427148035418
19,UP,Etawah,53.2,Tier 3 — High Risk,62.0,51.4,55.85,19.575,20.0,49.2,45.356911399711386,7.843088600288617
20,BR,Sheohar,53.0,Tier 3 — High Risk,35.56666666666667,43.86666666666667,42.175,33.6,35.4,31.633333333333336,53.08932015498119,-0.0893201549811877
21,BR,Gaya,52.9,Tier 3 — High Risk,43.63333333333333,46.36666666666667,47.05,36.675,33.96666666666667,37.95,49.53949928725244,3.360500712747559
22,UP,Fatehpur,52.4,Tier 3 — High Risk,50.96666666666667,47.26666666666666,40.075,29.025,15.566666666666668,37.9,47.84747621974404,4.55252378025596
23,HR,Mewat,52.3,Tier 3 — High Risk,31.8,47.6,45.275,37.8,31.899999999999995,22.066666666666663,55.25812570618382,-2.958125706183821
24,KA,Gulbarga,52.2,Tier 1 — Low Risk (Developed),49.5,53.03333333333333,60.50000000000001,25.25,21.0,67.01666666666667,46.2724559689522,5.927544031047802
25,BR,Purnia,52.1,Tier 3 — High Risk,38.0,40.9,43.025000000000006,43.3,30.33333333333333,37.11666666666667,49.882384656693226,2.217615343306776
26,BR,Jehanabad,52.1,Tier 3 — High Risk,49.3,49.6,50.95,34.6,28.9,49.833333333333336,45.30267971657974,6.797320283420262
27,MP,Sheopur,52.1,Tier 3 — High Risk,34.800000000000004,40.73333333333333,54.15,44.525,22.4,40.900000000000006,46.835919319399,5.264080680601005
28,MP,Barwani,52.0,Tier 3 — High Risk,36.6,42.63333333333333,59.3,47.6,31.166666666666668,37.03333333333334,46.58076429918118,5.419235700818817
29,BR,Madhubani,51.8,Tier 3 — High Risk,37.1,43.633333333333326,39.5,38.575,31.1,32.050000000000004,47.95743350800672,3.8425664919932734
30,BR,Madhepura,51.8,Tier 3 — High Risk,31.3,41.333333333333336,41.975,38.05,39.96666666666667,34.71666666666667,49.06012901113627,2.7398709888637285
